Date,Content,Source
2024-07-29 16:27:00,Lực lượng chức năng tỉnh Tuyên Quang vừa phát hiện kịp thời 81 con lợn nhiễm dịch tả lợn châu Phi đang được đưa đi tiêu thụ.,https://nguoiduatin.vn/tuyen-quang-phat-hien-lon-bi-nhiem-dich-tren-duong-di-tieu-thu-204240729154638505.htm
2024-07-29 12:53:00,"""Đây là bài học quá lớn sẽ ám ảnh suốt cuộc đời tôi và những bị cáo khác. Tôi xin được dùng lời nói sau cùng nhờ HĐXX xem xét giảm nhẹ cho tất cả các bị cáo"", ông Trịnh Văn Quyết nói.",https://nguoiduatin.vn/nhung-loi-noi-tha-thiet-sau-cung-cua-ong-trinh-van-quyet-204240729124506191.htm
2024-07-29 12:21:00,Luật sư đề nghị làm rõ tại sao lại có 2 tệp bị hại với 133 bị hại và 30.000 người thì có gì khác nhau.,https://nguoiduatin.vn/xac-dinh-lai-co-25000-bi-hai-trong-vu-an-trinh-van-quyet-204240729120120112.htm
2024-07-29 06:00:00,"Người đàn ông đã đâm chết bạn mình sau khi người này từ chối trả lời câu hỏi ""Cái nào có trước, con gà hay quả trứng?"".",https://nguoiduatin.vn/sat-hai-ban-vi-khong-tra-loi-cau-do-con-ga-hay-qua-trung-co-truoc-204240728214812222.htm
2024-07-28 19:58:00,"Trần Thị H. đã thực hiện 13 vụ lừa đảo, chiếm đoạt 13 xe ô tô trị giá hơn 10 tỷ đồng của 13 công dân trên địa bàn tỉnh Nghệ An.",https://nguoiduatin.vn/nu-quai-lua-dao-chiem-doat-13-xe-o-to-tri-gia-hon-10-ty-dong-204240728192309502.htm
2024-07-28 16:40:00,"Trong lúc cãi vã, Lê Hoàng Nam lấy dao mang theo chém chị Nh. gây thương tích nặng rồi cùng 2 người còn lại trốn khỏi hiện trường.",https://nguoiduatin.vn/an-giang-bat-3-doi-tuong-chem-nguoi-phu-nu-trong-quan-an-204240728161143489.htm
2024-07-28 16:37:00,"Trong lúc xảy ra mâu thuẫn vì ói ra phòng ngủ, Cù Minh Bình đã dùng dao đâm bạn nhậu dẫn đến tử vong.",https://nguoiduatin.vn/dak-lak-tam-giu-doi-tuong-dam-chet-nguoi-vi-mau-thuan-sau-cuoc-nhau-204240728162940563.htm
2024-07-28 14:17:00,"Tại cơ quan công an, K.L. (sinh năm 1989) và K.B. (sinh năm 1978) đã thừa nhận hành vi đăng tải thông tin sai sự thật, bịa đặt, xuyên tạc.",https://nguoiduatin.vn/lam-dong-xu-ly-2-doi-tuong-dang-tai-thong-tin-sai-su-that-204240728140306167.htm
2024-07-28 12:49:00,Nhóm người ở Lạng Sơn đã tổ chức đón 3 người Việt Nam từ thị trấn Bình Liêu (Quảng Ninh) đưa đến Mốc 1285 (Lạng Sơn) để xuất cảnh trái phép sang Trung Quốc.,https://nguoiduatin.vn/truy-to-4-bi-can-ve-toi-to-chuc-cho-nguoi-khac-xuat-canh-trai-phep-204240728124222668.htm
2024-07-28 09:03:00,"Phó Ban Quản lý các khu công nghiệp tỉnh Hậu Giang và 2 thuộc cấp bị khởi tố, bắt tạm giam về tội vi phạm quy định về quản lý, sử dụng tài sản nhà nước gây thất thoát, lãng phí.",https://nguoiduatin.vn/bat-pho-ban-quan-ly-cac-khu-cong-nghiep-tinh-hau-giang-204240728084916099.htm
2024-07-28 09:00:00,"Bà Hồng ngồi trên ghế, hai tay đan chặt vào với nhau. Bà cảm thấy rất lo lắng, bồn chồn một phần vì đây là lần đầu tiên bà tiếp xúc với luật sư, phần nhiều hơn là lo cho đứa con trai của mình tháng sau sẽ bị ra tòa xét xử.",https://nguoiduatin.vn/nguoi-dan-cung-can-phai-hieu-biet-phap-luat-204240729165734235.htm
2024-07-28 07:40:00,"Mới đây, công an Tp.Phúc Yên, tỉnh Vĩnh Phúc cho biết đang điều tra, làm rõ vụ việc một người phụ nữ bị chồng cũ dùng hung khí đâm liên tiếp vừa xảy ra tại phường Trưng Trắc.",https://nguoiduatin.vn/vinh-phuc-nguoi-phu-nu-bi-chong-cu-dung-hung-khi-dam-lien-tiep-204240727220221713.htm
2024-07-28 07:30:00,"Công an Bắc Giang cho biết, vừa triệt xóa đường dây cá độ bóng đá, khởi tố 10 đối tượng liên quan với số tiền giao dịch trên 20 tỷ đồng.",https://nguoiduatin.vn/bac-giang-khoi-to-10-doi-tuong-lien-quan-duong-day-ca-do-tren-20-ty-dong-204240727221216038.htm
2024-07-28 06:49:00,"Vừa qua, công an Tp.HCM đã nhanh chóng bắt 3 đối tượng trong vụ cướp giật kéo lê nạn nhân hàng trăm mét xảy ra ở quận Tân Bình.",https://nguoiduatin.vn/tphcm-bat-3-doi-tuong-cuop-giat-truoc-quan-an-204240727214823801.htm
2024-07-27 16:40:00,"Nhiều luật sư cho rằng, cần phải xác định rõ ai là bị hại trong số hàng chục nghìn nhà đầu tư, từ đó mới có thể xác định đúng thiệt hại của vụ án.",https://nguoiduatin.vn/vu-an-ong-trinh-van-quyet-ai-thuc-su-la-bi-hai-trong-hon-30000-nguoi-204240727144014551.htm
2024-07-27 14:51:00,"Theo đó, đối tượng Vư Mua Vừ khai nhận được thuê vận chuyển 209kg ma túy từ tỉnh Bò Kẹo về tập kết tại huyện Khăm Cợt (Bôlykhămxay, Lào) giáp với huyện Hương Sơn (Hà Tĩnh).",https://nguoiduatin.vn/bat-ke-van-chuyen-209kg-ma-tuy-tu-tam-giac-vang-vao-viet-nam-204240712192041947.htm
2024-07-27 11:04:00,"Với hành vi tham ô tài sản, một trưởng ban quản trị khu chung cư trên địa bàn tỉnh Thừa Thiên-Huế đã bị lực lượng chức năng khởi tố, bắt tạm giam.",https://nguoiduatin.vn/bat-giam-1-truong-ban-quan-tri-khu-chung-cu-vi-tham-o-tai-san-20424072710312092.htm
2024-07-29 16:33:00,"Chiều 29/7, Bí thư Hà Nội Bùi Thị Minh Hoài kiểm tra vùng ngập lụt tại huyện Chương Mỹ và yêu cầu các đơn vị liên quan lên phương án di dời hơn 700 hộ dân còn bám trụ.",https://nguoiduatin.vn/bi-thu-ha-noi-yeu-cau-xay-dung-phuong-an-di-doi-700-ho-dan-khoi-vung-lut-204240729162924014.htm
2024-07-29 17:29:00,"Phó Thủ tướng Trần Hồng Hà vừa ký ban hành Chỉ thị số 24 ngày 29/7/2024 của Thủ tướng Chính phủ về đẩy mạnh, nâng cao hiệu lực, hiệu quả thi hành Luật Đấu thầu.",https://nguoiduatin.vn/cat-giam-toi-da-thu-tuc-ruom-ra-gay-kho-cho-mua-sam-thuoc-thiet-bi-y-te-204240729170844612.htm
2024-07-29 15:32:00,"Theo PGS.TS Phạm Ngọc Trung, diện mạo mới của Chùa Cầu - Hội An sau cuộc đại trùng tu đã làm mất đi màu thời gian, mất đi giá trị cốt lõi của di sản kiến trúc.",https://nguoiduatin.vn/dai-trung-tu-chua-cau-lam-mat-di-linh-hon-cua-di-san-2042407291225253.htm
2024-07-29 15:49:00,"Nhiệm vụ quan trọng hàng đầu của cả hệ thống chính trị thành phố Đà Nẵng trong thời gian đến, mang tính đột phá, là điều kiện thuận lợi để khai thác, phát huy những lợi thế, tháo gỡ những khó khăn, vướng mắc...",https://nguoiduatin.vn/da-nang-se-khoi-thong-tao-dong-luc-tang-truong-moi-2042407291347236.htm
2024-07-29 17:30:00,"Hơn 2 năm kể từ khi được đưa vào sử dụng, tuyến đường Đông Khê 2 trên địa bàn quận Ngô Quyền, Tp.Hải Phòng, vẫn chưa phát huy hiệu quả giảm tải giao thông cho khu vực nội đô.",https://nguoiduatin.vn/som-giai-cuu-tuyen-duong-hon-1300-ty-dong-o-hai-phong-204240729161603922.htm
2024-07-27 21:27:00,"Tưởng nhớ Tổng Bí thư Nguyễn Phú Trọng, Ủy viên Bộ Chính trị, Thủ tướng Phạm Minh Chính có bài viết ""Đất nước ta chưa bao giờ có được cơ đồ, tiềm lực, vị thế và uy tín như ngày nay"".",https://nguoiduatin.vn/dat-nuoc-ta-chua-bao-gio-co-duoc-co-do-tiem-luc-vi-the-va-uy-tin-quoc-te-nhu-ngay-nay-204240727211929313.htm
2024-07-29 15:46:00,"Trong khi các phân khúc tầm trung không xuất hiện, thì căn hộ hạng A đang được chào bán nhiều với giá hàng chục, thậm chí hàng trăm triệu/m2.",https://nguoiduatin.vn/vi-sao-phan-khuc-can-ho-cao-cap-tai-tphcm-dan-dau-nguon-cung-204240727220157644.htm
2024-07-29 15:57:00,"Cổ phiếu HVN của Vietnam Airlines tiếp tục giao dịch tích cực khi tăng kịch trần lên 22.350 đồng/cổ phiếu và đóng góp gần 0,8 điểm vào chỉ số VN-Index.",https://nguoiduatin.vn/vn-index-tiep-da-hoi-phuc-co-phieu-qcg-va-hvn-tim-tro-lai-204240729155556758.htm
2024-07-29 13:16:00,"Theo Tổng cục Thống kê, 7 tháng năm 2024, khách quốc tế đến Việt Nam đạt gần 10 triệu lượt người, tăng 51% so với cùng kỳ năm trước và tăng 1,9% so với cùng kỳ năm 2019 - năm chưa xảy ra dịch Covid-19.",https://nguoiduatin.vn/khach-quoc-te-den-viet-nam-tang-cao-204240729131524212.htm
2024-07-29 16:24:00,"Luỹ kế 7 tháng năm 2024, tổng thu ngân sách Nhà nước ước đạt gần 1.200 triệu tỷ đồng, bằng 69,8% dự toán năm và tăng 14,6% so với cùng kỳ năm ngoái.",https://nguoiduatin.vn/tong-thu-ngan-sach-nha-nuoc-thang-7-2024-dat-gan-150000-ty-dong-204240729162341674.htm
2024-07-29 07:15:00,"Các luật sư cho rằng, việc Bộ Tài chính đề xuất tăng thuế tiêu thụ đặc biệt với đồ uống có cồn là cần thiết, nhằm hạn chế tiêu dùng, bảo đảm an toàn xã hội và tăng nguồn thu ngân sách.",https://nguoiduatin.vn/ap-thue-tieu-thu-dac-biet-nham-giam-tinh-trang-uong-ruou-bia-qua-muc-20424072216233904.htm
2024-07-29 15:30:00,"Loại rau gia vị quen thuộc này khi kết hợp với tảo lục được sử dụng như ""vị thuốc"" trị nhiều bệnh.",https://nguoiduatin.vn/uong-1-coc-nuoc-ep-rau-nay-nhu-nhan-sam-cua-nguoi-ngheo-o-que-moc-nhu-co-dai-204240729120446769.htm
2024-07-29 14:00:00,"Hai nam thanh niên đã bắt được một con cá trê bạch tạng khổng lồ dài 2,31 mét sau 20 phút chiến đấu.",https://nguoiduatin.vn/2-thanh-nien-bat-duoc-ca-tre-bach-tang-khong-lo-23-met-tren-song-204240729115403271.htm
2024-07-29 13:00:00,"Một kho báu chứa hơn 300 đồng tiền vàng trị giá 3,8 tỷ đồng đã được phát hiện trong một chiếc tất cũ.",https://nguoiduatin.vn/don-nha-tim-thay-kho-bau-tri-gia-38-ty-dong-giau-trong-tat-cu-204240729104857254.htm
2024-07-29 12:59:00,"Bước qua hào quang của danh hiệu Hoa hậu Điện ảnh, Mio Kiều Chinh đã và đang khẳng định mình trong lĩnh vực kinh doanh tại Mỹ.",https://nguoiduatin.vn/gac-lai-hao-quang-hoa-hau-dien-anh-mio-kieu-chinh-chon-kinh-doanh-tren-dat-my-204240729122348363.htm
2024-07-29 12:00:00,"Bãi biển có thể là nơi phát hiện ra nhiều điều thú vị cho những thợ săn kho báu. Tuy nhiên, không phải lúc nào những gì tìm thấy cũng là vàng bạc châu báu.",https://nguoiduatin.vn/bi-an-dang-sau-chiec-lo-duoc-tho-san-kho-bau-phat-hien-o-bai-bien-20424072911232233.htm
2024-07-29 11:30:00,"Có những loại rau quen thuộc vừa ngon lại bắt mắt, hầu như gia đình nào cũng ăn. Tuy nhiên không biết chọn dễ mua phải rau ""tắm"" nhiều thuốc trừ sâu. Do đó, đi chợ bạn nên bỏ túi mẹo hay sau.",https://nguoiduatin.vn/2-loai-rau-quen-thuoc-de-tam-thuoc-tru-sau-dung-dau-bang-nguoi-viet-rat-me-204240729101332705.htm
2024-07-29 11:24:00,"Mít là loại trái cây được yêu thích vào mùa hè, tuy nhiên ăn mít không đúng cách có thể ảnh hưởng xấu đến sức khỏe.",https://nguoiduatin.vn/3-khong-khi-an-mit-biet-ma-tranh-keo-mang-hoa-204240726101349248.htm
2024-07-29 10:50:00,"Eric Nguyễn, một cá nhân đặc biệt, đã thành công xây dựng sự nghiệp song song ấn tượng trong hai lĩnh vực tưởng chừng như đối lập: kinh doanh và âm nhạc.",https://nguoiduatin.vn/eric-nguyen-doanh-nhan-viet-tai-uc-truyen-cam-hung-cho-nhung-ai-theo-duoi-uoc-mo-204240729104407869.htm
2024-07-29 10:36:00,Chọn sữa dê hay sữa bò cho người tiểu đường vẫn là băn khoăn phổ biến của nhiều người tiêu dùng khi tìm hiểu và mua sắm.,https://nguoiduatin.vn/sua-de-hay-sua-bo-tot-hon-cho-nguoi-mac-tieu-duong-204240729103248907.htm
2024-07-29 10:00:00,"Da bị cứng như nhựa, dày lên khiến bề mặt da căng, mất nếp nhăn, khó cử động là những biểu hiện của bệnh xơ cứng bì.",https://nguoiduatin.vn/xo-cung-bi-can-benh-khien-da-cung-nhu-nhua-va-giai-phap-204240711151744426.htm
2024-07-29 09:48:00,Công ty Cổ phần Thương mại và Dịch vụ Phương Nam Group là đại diện chính thức và duy nhất tại Việt Nam của tập đoàn Neveda Health Professional Network (NHPN) và HR Global Consulting (HRGC). Vừa qua Phương Nam Group khởi động chương trình “Phát triển Điều Dưỡng Quốc Tế Chuyên Nghiệp”.,https://nguoiduatin.vn/tuyen-dung-dieu-duong-chuyen-nghiep-lam-viec-tai-my-204240729094839075.htm
2024-07-29 09:42:00,"Đặt mua nồi chiên không dầu trên Amazon, người phụ nữ tá hỏa phát hiện một con thằn lằn trong hộp.",https://nguoiduatin.vn/dat-mua-noi-chien-nguoi-phu-nu-soc-nang-khi-nhan-duoc-thu-dang-so-204240729094030314.htm
2024-07-29 09:30:00,"Nhiều người không ngờ ""con tằm"" mà lão nông nhặt được bên sông lại có xuất xứ đặc biệt và giá trị lớn như vậy.",https://nguoiduatin.vn/lao-nong-nhat-duoc-con-tam-tri-gia-34-ty-dong-204240728204937277.htm
2024-07-29 08:00:00,Nhu cầu tìm thuê nhà nguyên căn ở Gò Vấp những năm gần đây vẫn luôn ở mức cao. Vậy đâu là nguyên nhân tạo nên sức hút của thị trường này?,https://nguoiduatin.vn/suc-hut-cua-phan-khuc-cho-thue-nha-nguyen-can-go-vap-204240727160851467.htm
