Date,Content,Source
,"Án mạng ở quán trà sữa, 2 người chết - Nhân chứng vụ án mạng ở quán trà sữa, 2 người chết cho biết, sự việc xảy ra rất nhanh, chỉ tầm hơn 1 phút, khiến những người chứng kiến hốt hoảng tháo chạy.",https://doisongphapluat.com.vn
,"Sạt lở ở Hà Giang, 11 người chết - Liên quan đến vụ sạt lở, 11 người tử vong ở Hà Giang, nhiều đơn vị đã đến thăm hỏi, động viên, trao quà cho gia đình các nạn nhân tử vong và các nạn nhân bị thương.",https://doisongphapluat.com.vn
,"Vụ đầu độc Xyanua ở Đồng Nai - Liên quan vụ đầu độc xyanua ở Đồng Nai, cho rằng em gái và anh trai muốn chia rẽ tình cảm giữa mình với người yêu, nên Bích nhẫn tâm dùng xyanua đầu độc 2 cháu ruột.",https://doisongphapluat.com.vn
2024-07-16 18:35:26,"Từ năm 2020 đến tháng 9/2023, các đối tượng đã thành lập 64 công ty “ma” xuất trái phép 140.024 hóa đơn điện tử, trong đó có 76.561 hóa đơn xuất ra.",https://doisongphapluat.com.vn
2024-07-16 19:58:39,Dù thực tế xe ben trong vụ tai nạn mang BKS 88C-288.49 nhưng tem đăng kiểm trên xe ghi nhận có BKS 88C-252.53 đã hết hạn đăng kiểm tháng 6/2024.,https://doisongphapluat.com.vn
2024-07-16 19:45:09,"Ngoài tội danh truy tố, Viện KSND Tối cao đã kê biên, phong tỏa nhiều tài sản của bị can, đảm bảo cho việc khắc phục hậu quả.",https://doisongphapluat.com.vn
2024-07-16 19:45:00,"Nhân chứng vụ án mạng ở quán trà sữa, 2 người chết cho biết, sự việc xảy ra rất nhanh, chỉ tầm hơn 1 phút, khiến những người chứng kiến hốt hoảng tháo chạy.",https://doisongphapluat.com.vn
2024-07-16 19:24:52,"""Hố tử thần"" xuất hiện giữa khu dân cư trong ngõ  Văn Chương (phường Văn Chương, quận Đống Đa, Hà Nội) khiến hàng chục người dân phải sơ tán khẩn cấp",https://doisongphapluat.com.vn
2024-07-16 19:12:00,"Chiều 16/7, Công an huyện Hoài Đức (Hà Nội) có báo cáo về vụ tai nạn giao thông khiến 4 mẹ con tử vong trên địa bàn.",https://doisongphapluat.com.vn
2024-07-16 19:08:06,"Liên quan đến vụ án mạng ở quán trà sữa, 2 người chết, hàng xóm của nạn nhân nữ cho biết rất bàng hoàng khi nhận được hung tin.",https://doisongphapluat.com.vn
2024-07-16 19:00:00,6 tấn vàng trị giá 8.500 tỷ đồng được giấu trong ngăn bí mật của xe ba gác chở nước đá từ Campuchia về Tây Ninh.,https://doisongphapluat.com.vn
2024-07-16 17:51:00,Trà chanh gừng đã được biết đến như một thức uống mang lại nhiều lợi ích cho sức khỏe nhưng để tối ưu hóa hiệu quả bạn cần nắm rõ thời điểm phù hợp để sử dụng.,https://doisongphapluat.com.vn
2024-07-16 16:40:52,"Khoảng 5 thanh niên lạ mặt xông vào nhà trọ tại phường Bình Chiểu, TP.Thủ Đức  (TP.HCM) rồi hành hung người thuê trọ.",https://doisongphapluat.com.vn
2024-07-16 16:38:14,"Trong 6 tháng đầu năm 2024, cả nước đã có 453.841 lượt phương tiện không đạt tiêu chuẩn an toàn kỹ thuật và bảo vệ môi trường.",https://doisongphapluat.com.vn
2024-07-16 16:12:01,"Người đàn ông không khỏi hoảng sợ khi phát hiện con rắn hổ mang chúa lớn trườn qua sân, với phần đầu ngẩng lên và chuẩn bị tấn công.",https://doisongphapluat.com.vn
2024-07-16 16:07:28,"Tại hiện trường vụ tai nạn ở Hoài Đức (Hà Nội) khiến 4 người tử vong, phần đầu bên phải của xe ben chở đá dăm chỉ bị hư hỏng nhẹ, đuôi xe tải nằm sát hộ lan,...",https://doisongphapluat.com.vn
2024-07-16 16:05:55,"Trong Trường Tương Tư 2 tập 12-14, Tiểu Yêu (Dương Tử) không khỏi bất ngờ sau khi xem xem một loạt khuôn mặt khác nhau của Tương Liễu (Đàn Kiện Thứ).",https://doisongphapluat.com.vn
2024-07-16 16:00:13,"Tại thời điểm xảy ra vụ nổ, công nhân đang thi công lắp đặt thiết bị bên trong làm 8 người bị thương, trong đó có 2 người nước ngoài.",https://doisongphapluat.com.vn
2024-07-16 15:59:06,"Hoàng Anh Quân, Trường THCS Hoàng Hoa Thám vừa xuất sắc giành Huy chương Vàng tại ""International Stem Olympiad 2024"".",https://doisongphapluat.com.vn
2024-07-16 16:06:35,"Theo lời kể của nhân chứng, trước khi xảy ra án mạng ở quán trà sữa khiến 2 người chết, người đàn ông có hành động hôn người phụ nữ một cái.",https://doisongphapluat.com.vn
2024-07-16 15:15:00,"Liên quan vụ án mạng ở quán trà sữa, 2 người chết ở TP.HCM, bước đầu xác định nạn nhân đã có chồng và 2 con. Tuy nhiên mới đây bà V. đã ly thân.",https://doisongphapluat.com.vn
2024-07-16 13:44:00,"Tối 15/7, tại một quán trà sữa nằm trên đường Lê Văn Khương, phường Thới An, quận 12 (TP.HCM) đã xảy ra vụ án mạng khiến đôi nam nữ tử vong.",https://doisongphapluat.com.vn
